text,sentiment,contains_unusual,tokens
so there is no way for me to plug it in here in the us unless i go by a converter,0,False,"['way', 'plug', 'us', 'unless', 'go', 'converter']"
good case excellent value,1,False,"['good', 'case', 'excellent', 'value']"
great for the jawbone,1,False,"['great', 'jawbone']"
tied to charger for conversations lasting more than 45 minutesmajor problems,0,False,"['tied', 'charger', 'conversations', 'lasting', '45', 'minutesmajor', 'problems']"
the mic is great,1,False,"['mic', 'great']"
i have to jiggle the plug to get it to line up right to get decent volume,0,False,"['jiggle', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volume']"
if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,0,False,"['several', 'dozen', 'several', 'hundred', 'contacts', 'imagine', 'fun', 'sending', 'one', 'one']"
if you are razr owneryou must have this,1,False,"['razr', 'owneryou', 'must']"
needless to say i wasted my money,0,False,"['needless', 'say', 'wasted', 'money']"
what a waste of money and time,0,False,"['waste', 'money', 'time']"
and the sound quality is great,1,False,"['sound', 'quality', 'great']"
he was very impressed when going from the original battery to the extended battery,1,False,"['impressed', 'going', 'original', 'battery', 'extended', 'battery']"
if the two were seperated by a mere 5 ft i started to notice excessive static and garbled sound from the headset,0,False,"['two', 'seperated', 'mere', '5', 'ft', 'started', 'notice', 'excessive', 'static', 'garbled', 'sound', 'headset']"
very good quality though,1,False,"['good', 'quality', 'though']"
the design is very odd as the ear clip is not very comfortable at all,0,False,"['design', 'odd', 'ear', 'clip', 'comfortable']"
highly recommend for any one who has a blue tooth phone,1,False,"['highly', 'recommend', 'one', 'blue', 'tooth', 'phone']"
i advise everyone do not be fooled,0,False,"['advise', 'everyone', 'fooled']"
so far so good,1,False,"['far', 'good']"
works great,1,False,"['works', 'great']"
it clicks into place in a way that makes you wonder how long that mechanism would last,0,False,"['clicks', 'place', 'way', 'makes', 'wonder', 'long', 'mechanism', 'would', 'last']"
i went on motorolas website and followed all directions but could not get it to pair again,0,False,"['went', 'motorolas', 'website', 'followed', 'directions', 'could', 'get', 'pair']"
i bought this to use with my kindle fire and absolutely loved it,1,False,"['bought', 'use', 'kindle', 'fire', 'absolutely', 'loved']"
the commercials are the most misleading,0,False,"['commercials', 'misleading']"
i have yet to run this new battery below two bars and thats three days without charging,1,False,"['yet', 'run', 'new', 'battery', 'two', 'bars', 'thats', 'three', 'days', 'without', 'charging']"
i bought it for my mother and she had a problem with the battery,0,False,"['bought', 'mother', 'problem', 'battery']"
great pocket pc  phone combination,1,False,"['great', 'pocket', 'pc', 'phone', 'combination']"
ive owned this phone for 7 months now and can say that its the best mobile phone ive had,1,False,"['ive', 'owned', 'phone', '7', 'months', 'say', 'best', 'mobile', 'phone', 'ive']"
i didnt think that the instructions provided were helpful to me,0,False,"['didnt', 'think', 'instructions', 'provided', 'helpful']"
people couldnt hear me talk and i had to pull out the earphone and talk on the phone,0,False,"['people', 'couldnt', 'hear', 'talk', 'pull', 'earphone', 'talk', 'phone']"
doesnt hold charge,0,False,"['doesnt', 'hold', 'charge']"
this is a simple little phone to use but the breakage is unacceptible,0,False,"['simple', 'little', 'phone', 'use', 'breakage', 'unacceptible']"
this product is ideal for people like me whose ears are very sensitive,1,False,"['product', 'ideal', 'people', 'like', 'whose', 'ears', 'sensitive']"
it is unusable in a moving car at freeway speed,0,False,"['unusable', 'moving', 'car', 'freeway', 'speed']"
i have two more years left in this contract and i hate this phone,0,False,"['two', 'years', 'left', 'contract', 'hate', 'phone']"
car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,1,False,"['car', 'charger', 'well', 'ac', 'charger', 'included', 'make', 'sure', 'never', 'run', 'juicehighy', 'recommended']"
you need at least 3 mins to get to your phone book from the time you first turn on the phonebattery life is short,0,False,"['need', 'least', '3', 'mins', 'get', 'phone', 'book', 'time', 'first', 'turn', 'phonebattery', 'life', 'short']"
it has kept up very well,1,False,"['kept', 'well']"
poor talk time performance,0,False,"['poor', 'talk', 'time', 'performance']"
the case is great and works fine with the 680,1,False,"['case', 'great', 'works', 'fine', '680']"
worthless product,0,False,"['worthless', 'product']"
it has a great camera thats 2mp and the pics are nice and clear with great picture quality,1,False,"['great', 'camera', 'thats', '2mp', 'pics', 'nice', 'clear', 'great', 'picture', 'quality']"
i was not impressed by this product,0,False,"['impressed', 'product']"
nice headset priced right,1,False,"['nice', 'headset', 'priced', 'right']"
i only hear garbage for audio,0,False,"['hear', 'garbage', 'audio']"
excellent bluetooth headset,1,False,"['excellent', 'bluetooth', 'headset']"
it has all the features i want,1,False,"['features', 'want']"
who in their right mind is gonna buy this battery,0,False,"['right', 'mind', 'gonna', 'buy', 'battery']"
after arguing with verizon regarding the dropped calls we returned the phones after two days,0,False,"['arguing', 'verizon', 'regarding', 'dropped', 'calls', 'returned', 'phones', 'two', 'days']"
this case seems well made,1,False,"['case', 'seems', 'well', 'made']"
disappointed with battery,0,False,"['disappointed', 'battery']"
not loud enough and doesnt turn on like it should,0,False,"['loud', 'enough', 'doesnt', 'turn', 'like']"
good protection and does not make phone too bulky,1,False,"['good', 'protection', 'make', 'phone', 'bulky']"
a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget,1,False,"['usable', 'keyboard', 'actually', 'turns', 'pda', 'realworld', 'useful', 'machine', 'instead', 'neat', 'gadget']"
this phone is pretty sturdy and ive never had any large problems with it,1,False,"['phone', 'pretty', 'sturdy', 'ive', 'never', 'large', 'problems']"
i love this thing,1,False,"['love', 'thing']"
everything about it is fine and reasonable for the price ie,1,False,"['everything', 'fine', 'reasonable', 'price', 'ie']"
very disappointed,0,False,['disappointed']
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,1,False,"['even', 'dropped', 'phone', 'stream', 'submerged', '15', 'seconds', 'still', 'works', 'great']"
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,1,False,"['happy', '510', 'complaints', 'one', 'regarding', 'sound', 'quality', 'end']"
the buttons for on and off are bad,0,False,"['buttons', 'bad']"
essentially you can forget microsofts tech support,0,False,"['essentially', 'forget', 'microsofts', 'tech', 'support']"
i really recommend this faceplates since it looks very nice elegant and cool,1,False,"['really', 'recommend', 'faceplates', 'since', 'looks', 'nice', 'elegant', 'cool']"
these headphones were a great find  and i think they are perhaps the best purchase ive made in the last several years  seriously,1,False,"['headphones', 'great', 'find', 'think', 'perhaps', 'best', 'purchase', 'ive', 'made', 'last', 'several', 'years', 'seriously']"
buy a different phone  but not this,0,False,"['buy', 'different', 'phone']"
you have to hold the phone at a particular angle for the other party to hear you clearly,0,False,"['hold', 'phone', 'particular', 'angle', 'party', 'hear', 'clearly']"
the one big drawback of the mp3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,0,False,"['one', 'big', 'drawback', 'mp3', 'player', 'buttons', 'phones', 'front', 'cover', 'let', 'pause', 'skip', 'songs', 'lock', 'seconds']"
a week later after i activated it it suddenly died,0,False,"['week', 'later', 'activated', 'suddenly', 'died']"
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,1,False,"['feels', 'comfortable', 'headsets', 'wear', 'glasses', 'gets', 'way', 'sometimes']"
great for ipods too,1,False,"['great', 'ipods']"
this device is great in several situations1,1,False,"['device', 'great', 'several', 'situations1']"
mic doesnt work,0,False,"['mic', 'doesnt', 'work']"
